School,Major,N
ArtsAndSciences,ArtHistory,4
ArtsAndSciences,Communications,16
ArtsAndSciences,CriminalJustice,46
ArtsAndSciences,Anthropology,7
ArtsAndSciences,DigitalDesign,25
ArtsAndSciences,English,21
ArtsAndSciences,EnglisCreativeWrite,20
ArtsAndSciences,EnvironmentalStudies,14
ArtsAndSciences,FilmStudies,16
ArtsAndSciences,French,2
ArtsAndSciences,History,9
ArtsAndSciences,InterdisciplanyArts,11
ArtsAndSciences,InterdisciplanyLiberalStudies,14
ArtsAndSciences,InternationalStudies,22
ArtsAndSciences,Journalism,9
ArtsAndSciences,Philosophy,7
ArtsAndSciences,Photography,5
ArtsAndSciences,PoliticalScience,32
ArtsAndSciences,Psychology,76
ArtsAndSciences,PublicAffairs,7
ArtsAndSciences,SocialWork,25
ArtsAndSciences,Sociology,14
ArtsAndSciences,Spanish,8
ArtsAndSciences,SportExerciseScience,34
ArtsAndSciences,StrategicCommunications,48
ArtsAndSciences,Music,3
ArtsAndSciences,Theatre,8
ArtsAndSciences,Theology,5
ArtsAndSciences,VisualArts,2
ArtsAndSciences,WomenStudies,1
ScienceAndEngineering,Biochemistry,13
ScienceAndEngineering,Biology,38
ScienceAndEngineering,MolecularBiology,11
ScienceAndEngineering,Chemistry,3
ScienceAndEngineering,CivilEngineering,21
ScienceAndEngineering,ComputerScience,42
ScienceAndEngineering,DiagnosticUltrasound,19
ScienceAndEngineering,ElectricalEngineering,43
ScienceAndEngineering,EnvironmentalScience,7
ScienceAndEngineering,GeneralScience,5
ScienceAndEngineering,MarineBiology,6
ScienceAndEngineering,Mathematics,12
ScienceAndEngineering,MechanicalEngineering,36
ScienceAndEngineering,Physics,6
BusinessAndEconomics,Accounting,68
BusinessAndEconomics,BusinessEconomics,10
BusinessAndEconomics,Economics,23
BusinessAndEconomics,Finance,88
BusinessAndEconomics,Individualized,2
BusinessAndEconomics,InternationalBusiness,23
BusinessAndEconomics,Management,52
BusinessAndEconomics,Marketing,67
